Tiêu đề,Số phòng,Vị trí ,Giá,Giá / Diện tích,Diện tích,Loại hình
❌️NHÀ 4 PHÒNG NGỦ KDC NINH KIỀU GIÁ RẺ HƠN NHÀ HẺM,4,Quận Ninh Kiều,"3,499",44,80,nhà ở
❌️NHÀ ĐẸP GIÁ TỐT NGAY TRUNG TÂM CẠNH BÊN ĐH Y DƯỢC,3,Quận Ninh Kiều,"2,299",53,44,nhà ở
❌️NHÀ DIỆN TÍCH RỘNG KDC 923 GIÁ TỐT,2,Quận Ninh Kiều,"2,69 ",30,90,nhà ở
❌NHÀ FULL NỘI THẤT KDC HỒNG LOAN❌,4,Quận Cái Răng ,"5,55 ",69,80,nhà ở
❌NHÀ KẾ GÓC XUÂN THỦY - TÚ XƯƠNG❌,4,Quận Ninh Kiều,"7,1 ",63,113,nhà ở
❌SIÊU PHẨM FULL NỘI THẤT HỒNG LOAN❌,3,Quận Cái Răng ,"4,45 ",52,85,nhà ở
☘️BÁN NHÀ MỚI TRỆT 2 LẦU KDC HỒNG LOAN CÁI RĂNG CẦN THƠ,4,Quận Cái Răng ,"5,55 ",69,80,nhà ở
☘️NHÀ LẦU ĐÚC - VỊ TRÍ ĐẸP - 3 PHÒNG NGỦ,2,Quận Ninh Kiều,"2,77 ",43,64,nhà ở
⭐️ 𝐂𝐚̆𝐧 𝐇𝐨̣̂ 𝟐 𝐏𝐍 𝐂𝐮̛̣𝐜 Đ𝐞̣𝐩 𝐅𝐮𝐥𝐥 𝐍𝐨̣̂𝐢 𝐓𝐡𝐚̂́𝐭 𝐂𝐨̛ 𝐁𝐚̉𝐧 𝐊𝐡𝐮 𝐇𝐮̛𝐧𝐠 𝐏𝐡𝐮́,2,Quận Cái Răng,"1,6 ",23,70,chung cư / căn hộ
2 căn nhà đường Lý Hồng Thanh  thuận kinh doanh mua bán,5,Quận Ninh Kiều,22,172,128,nhà ở
4 phòng trọ 2 mặt tiền mương hở 4m TĐC An Bình gần hồ thu nhập cao,4,Quận Ninh Kiều,3,48,63,nhà ở
a cần bán nha hem 127 vo văn kiệt phường an hoà quận ninh kiều tp ct,2,Quận Ninh Kiều,"1,95 ",39,50,nhà ở
ANH TRAI GỬI BÁN CĂN NHÀ TRỆT 1 LẦU TÂN CỔ ĐIỂN MỚI XÂY TUYỆT ĐẸP,3,Quận Ninh Kiều,"3,499",56,63,nhà ở
B.á.n CĂN HỘ 3 PHÒNG NGỦ KẾ BÊN BV HOÀN MỸ ĐƯỜNG VÕ NGUYÊN GIÁP,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
B1 - An Cư,3,Quận Ninh Kiều,"2,4 ",40,60,nhà ở
B12a - KDC 91b,3,Quận Ninh Kiều,"3,6 ",56,64,nhà ở
B12b - An Nghiệp,2,Quận Ninh Kiều,"4,98 ",40,125,nhà ở
B15a - An Hoà,1,Quận Ninh Kiều,"0,97",54,18,nhà ở
B16 - Hưng Thạnh,4,Quận Cái Răng ,"13,9 ",66,210,nhà ở
B17 - An Bình,2,Quận Ninh Kiều,"0,87",16,56,nhà ở
B19 - Phú Thứ,2,Quận Cái Răng ,"1,1 ",13,86,chung cư / căn hộ
B20- Hưng Lợi,7,Quận Ninh Kiều,"5,6 ",39,144,nhà ở
B2a - An Khánh,3,Quận Ninh Kiều,"6,5 ",102,64,nhà ở
B2b - Long Hoà,2,Quận Bình Thủy ,"2,45 ",26,94,nhà ở
B2c - Long Tuyền,1,Quận Bình Thủy ,"1,58 ",35,45,nhà ở
B2d - Long Tuyền,2,Quận Bình Thủy ,"1,58 ",25,64,nhà ở
B2f - Long Tuyền,2,Quận Bình Thuỷ ,"2,2 ",46,48,nhà ở
B2g - An Khánh,2,Quận Ninh Kiều,"2,35 ",55,43,nhà ở
B3 - An Khánh,4,Quận Ninh Kiều,"4,65 ",52,90,nhà ở
B4a - An Bình,2,Quận Ninh Kiều,"2,4 ",41,59,nhà ở
B5a - An Khánh,5,Quận Ninh Kiều,"3,6 ",51,70,nhà ở
B6 - Hưng Lợi,2,Quận Ninh Kiều,"7,1 ",79,90,nhà ở
B7 - An Khánh,4,Quận Ninh Kiều,"5,9 ",55,108,nhà ở
B8 - An Khánh,2,Quận Ninh Kiều,"2,35 ",65,36,nhà ở
B908 - An Hoà,2,Quận Ninh Kiều,"2,69 ",56,48,nhà ở
B908b - Thới Bình,2,Quận Ninh Kiều,"2,65 ",55,48,nhà ở
B908c - Hưng Lợi,3,Quận Ninh Kiều,"2,65 ",59,45,nhà ở
B908d - Tân An,4,Quận Ninh Kiều,"3,15 ",73,43,nhà ở
B908e - An Thới,3,Quận Bình Thủy ,"3,33 ",69,48,nhà ở
B9c - An Nghiệp,2,Quận Ninh Kiều,"2,3 ",32,71,nhà ở
Bá.n Căn Hộ Chung Cư Hưng Phú Lô A DT 64.6m2 KDC Hưng Phú 1,2,Quận Cái Răng ,"1,45 ",22,65,chung cư / căn hộ
"Bá.n chung cư Tây Nguyên Plaza 89 KDC Long Thịnh, Cái Răng, TP Cần T",2,Quận Cái Răng ,1,11,89,chung cư / căn hộ
Bán 2 Căn Nhà 1 Trệt 1 Lửng Trục Chính Hẻm 28 Huỳnh Phan Hộ Gần Chợ Hồ,3,Quận Bình Thuỷ ,"1,75 ",39,45,nhà ở
"Bán 2 căn nhà mặt tiền đường số 15, KDC 586, Cần Thơ 6 phòng ngủ",6,Quận Cái Răng ,13,65,200,nhà ở
BÁN 2 CĂN NHÀ TUYỆT ĐẸP GẦN CHỢ AN HOÀ TRƯỜNG HỌC,2,Quận Ninh Kiều,"2,38 ",53,45,nhà ở
Bán 2căn nhà mới gần bệnh viện nhi đồng đại học FPT,3,Quận Bình Thủy ,"2,29 ",33,69,nhà ở
BÁN 3 CĂN NHÀ 2 LẦU MẶT TIỀN NGUYỄN HIỀN,5,Quận Ninh Kiều,"9,8 ",109,90,nhà ở
"Bán 7 phòng trọ bình dân tại Ninh Kiều, Tp. Cần Thơ",7,Quận Ninh Kiều,"1,9 ",12,165,nhà ở
BÁN BIỆT THỰ - KHU BIỆT THỰ CỒN KHƯƠNG,3,Quận Ninh Kiều,"8,5 ",55,154,nhà ở
bán biệt thự có sân vườn rộng 300m2 khu dân cư cao cấp nam cần thơ,4,Quận Cái Răng ,19,63,300,nhà ở
Bán Biệt Thự KDC Phú An Có Giá Tot đầu Tư,4,Quận Cái Răng ,"7,99 ",35,230,nhà ở
"BÁN BIỆT THỰ MINI DTSD 207 - KTĐC CẦU CẦN THƠ, HƯNG PHÚ, CÁI RĂNG",2,Quận Cái Răng ,"5,8 ",48,120,nhà ở
"BÁN BIỆT THỰ MINI TĐC CẦU CẦN THƠ, PHƯỜNG HƯNG PHÚ, QUẬN CÁI RĂNG, THÀ",2,Quận Cái Răng ,"5,8 ",48,120,nhà ở
bán biệt thự sân vườn khu phú an đối diện Toyota cần thơ giá dưới 10 t,4,Quận Cái Răng ,10,50,200,nhà ở
bán biệt thự sổ hồng hoàn công khu dân cư nam long 1 cần thơ giá tốt,4,Quận Cái Răng ,14,67,210,nhà ở
BÁN BIỆT THỰ TẠI QUẬN NINH KIỀU,3,Quận Ninh Kiều,"7,99 ",30,264,nhà ở
Bán Cafe homestay ngay trung tâm Ninh Kiều Cần Thơ chính chủ,6,Quận Ninh Kiều ,"5,8 ",21,280,chung cư / căn hộ
BÁN CĂN CHUNG CƯ HƯNG PHÚ 2 NT CƠ BẢN,2,Quận Cái Răng ,"1,35 ",19,70,chung cư / căn hộ
Bán căn hộ,2,Quận Cái Răng ,3,43,70,chung cư / căn hộ
"Bán Căn Hộ 2  - Diện Tích 75,23m2",2,Quận Cái Răng,"3,39 ",45,75,chung cư / căn hộ
"Bán căn hộ 2 đầy đủ nội thất tại khu Nam Long 1,8  VND",2,Quận Cái Răng ,"1,8 ",34,52,chung cư / căn hộ
Bán căn hộ 2 phòng ngủ chung cư Hồng Loan 6A ban công Đông Bắc,2,Quận Cái Răng,"0,78",16,48,chung cư / căn hộ
BÁN CĂN HỘ 2-70m2 HƯNG PHÚ ĐƯỜNG LÝ THÁI TỔ,2,Quận Cái Răng ,"1,79 ",26,70,chung cư / căn hộ
BÁN CĂN HỘ 3 NT CƠ BẢN VIEW GÓC MT LÝ THÁI TỔ,3,Quận Cái Răng ,"1,85 ",23,80,chung cư / căn hộ
Bán Căn Hộ 66m2 2 GREEN MELODY TTTP CẦN THƠ,2,Quận Cái Răng ,"2,287",35,65,chung cư / căn hộ
Bán căn hộ cao cấp trung tâm Cần Thơ,2,Quận Cái Răng ,"1,7 ",24,70,chung cư / căn hộ
BÁN CĂN HỘ CAO CẤP VIP 100% KHU NAM LONG 1 TP CẦN THƠ,1,Quận Cái Răng ,"1,4 ",35,40,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ CADIF 2 FULL NỘI THẤT,2,Quận Cái Răng ,"2,1 ",32,65,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ CADIF FULL NT 2,2,Quận Cái Răng ,"2,2 ",24,90,chung cư / căn hộ
"Bán căn hộ chung cư cao cấp 75,24m2, 2 phòng ngủ tại TP Cần Thơ",2,Quận Cái Răng,"3,3 ",44,75,chung cư / căn hộ
Bán căn hộ chung cư Hồng Loan 6A tầng 3 có sổ qua trung tâm 5 phút,2,Quận Cái Răng ,"0,62",19,33,chung cư / căn hộ
Bán căn hộ chung cư Hưng Phú,2,Quận Cái Răng ,"1,4 ",20,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ A 2,2,Quận Cái Răng,"1,4 ",20,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ A 2,2,Quận Cái Răng ,"1,45 ",21,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ A 3,3,Quận Cái Răng ,"1,85 ",23,80,chung cư / căn hộ
Bán căn hộ chung cư Hưng Phú Lô A 70m2 full nội thất cao cấp -,2,Quận Cái Răng ,"1,8 ",26,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ B,1,Quận Cái Răng,"1,2 ",24,50,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ B 2,2,Quận Cái Răng ,"1,5 ",21,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔ B 70m2 2,2,Quận Cái Răng ,"1,35 ",19,70,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ HƯNG PHÚ LÔA 2 NT ĐẦY ĐỦ GIÁ TỐT,2,Quận Cái Răng ,"1,39 ",28,50,chung cư / căn hộ
"Bán căn hộ chung cư Hưng Phú-70m2, tầng 4, 2 phòng ngủ.",2,Quận Cái Răng ,"1,5 ",21,70,chung cư / căn hộ
Bán căn hộ Chung cư Nam Long,1,Quận Cái Răng,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ NAM LONG - ĐẦY ĐỦ NỘI THẤT - VÀO LÀ Ở THÔI,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ NAM LONG FULL NỘI THẤT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
Bán Căn Hộ Chung Cư Nam Long Hồng Phát Full Nội Thất,1,Quận Cái Răng,"0,85",22,38,chung cư / căn hộ
BáN CĂN HỘ CHUNG CƯ TÂY NGUYÊN PLAZA,2,Quận Cái Răng ,"1,25 ",17,74,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ TÂY NGUYÊN PLAZA BLOCK T 3 TẦNG 13,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
BÁN CĂN HỘ CHUNG CƯ TÂY NGUYÊN PLAZA TẦNG 15 3 FULL NỘI THẤT BLOCK T,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
BÁN CĂN HỘ FULL NỘI THẤT CHUNG CƯ NAM LONG HỒNG PHÁT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ FULL NT NAM LONG HỒNG PHÁT GIÁ TỐT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ GÓC 2 MẶT TIỀN VIEW TUYỆT ĐẸP & HIẾM CÓ,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
BÁN CĂN HỘ GÓC 2 MẶT TIỀN VIEW TUYỆT ĐẸP & HIẾM CÓ - BLOCK T,3,Quận Cái Răng ,"1,35 ",13,106,chung cư / căn hộ
BÁN CĂN HỘ GÓC CADIF – B.01 HƯNG PHÚ 1,6,Quận Cái Răng ,"6,9 ",32,214,chung cư / căn hộ
"BÁN CĂN HỘ GÓC LÝ THÁI TỔ HƯNG PHÚ- LÔ A- 3 PHÒNG NGỦ,",3,Quận Cái Răng,"1,9 ",24,80,chung cư / căn hộ
"Bán căn hộ hiếm 2 2WC tầng 2, Căn hộ view Công Viên, chỉ 1  786",2,Quận Cái Răng ,"1,786",34,52,chung cư / căn hộ
BÁN CĂN HỘ HƯNG PHÚ LÔA 2 NT CƠ BẢN,2,Quận Cái Răng ,"1,45 ",21,70,chung cư / căn hộ
BÁN CĂN HỘ HƯNG PHÚ LÔA 2 NT ĐẦY ĐỦ,2,Quận Cái Răng ,"1,4 ",20,70,chung cư / căn hộ
BÁN CĂN HỘ HƯNG PHÚ LÔA 2NT CƠ BẢN,2,Quận Cái Răng ,"1,45 ",21,70,chung cư / căn hộ
BÁN CĂN HỘ HƯNG PHÚ LÔB 2 GIÁ TỐT,2,Quận Cái Răng,"1,5 ",21,70,chung cư / căn hộ
"BÁN CĂN HỘ HƯNG PHÚ, LÔ B - FULL NỘI THẤT",2,Quận Cái Răng ,"1,45 ",21,70,chung cư / căn hộ
Bán căn hộ mini,2,Quận Cái Răng ,"1,7 ",24,70,chung cư / căn hộ
Bán Căn Hộ Mới View Sông & Bến Ninh Kiều Siêu Đẹp,2,Quận Cái Răng ,"2,969",40,75,chung cư / căn hộ
BÁN CĂN HỘ NAM LONG FULL NT 1 GIÁ TỐT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ NAM LONG FULL NT CAO CẤP 2,2,Quận Cái Răng ,"1,75 ",32,55,chung cư / căn hộ
"BÁN CĂN HỘ RỘNG RÃI SỞ HỮU LÂU DÀI,CHỦ BÁN GẤP CẮT GIÁ RẺ",2,Quận Cái Răng ,"1,7 ",24,70,chung cư / căn hộ
BÁN CĂN HỘ SHOPHOUSE 1 TRỆT 1 LỬNG CHUNG CƯ HƯNG PHÚ LÔ B,3,Quận Cái Răng,"4,25 ",24,180,chung cư / căn hộ
BÁN CĂN HỘ SHOPHOUSE 1 TRỆT 1 LỬNG CHUNG CƯ HƯNG PHÚ LÔ B,3,Quận Cái Răng ,"4,1 ",23,180,chung cư / căn hộ
BÁN CĂN HỘ SHOPHOUSE 1T1L HƯNG PHÚ 3,3,Quận Cái Răng ,"4,1 ",23,180,chung cư / căn hộ
BÁN CĂN HỘ SHOPHOUSE HƯNG PHÚ 3 MT,3,Quận Cái Răng ,"4,1 ",23,180,chung cư / căn hộ
BÁN CĂN HỘ T6 NAM LONG CÓ NT 1 GIÁ TỐT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ TẦNG 1 CHUNG CƯ HƯNG PHÚ LÔ A,2,Quận Cái Răng ,"1,39 ",28,50,chung cư / căn hộ
BÁN CĂN HỘ TẦNG 6 CHUNG CƯ NAM LONG HỒNG PHÁT CÓ NỘI THẤT,1,Quận Cái Răng ,"0,85",22,38,chung cư / căn hộ
BÁN CĂN HỘ TÂY NGUYÊN PLAZA 3 FULL NT,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
BÁN CĂN HỘ TÂY NGUYÊN PLAZA 3 FULL NT T13,3,Quận Cái Răng ,"1,35 ",13,107,chung cư / căn hộ
BÁN CĂN NHÀ HUỲNH THỊ NỞ 2 GIÁ TỐT,2,Quận Cái Răng ,"2,2 ",11,201,nhà ở
BÁN CĂN NHÀ MỚI XÂY TRỆT 1 LẦU TUYỆT ĐẸP - HƯỚNG ĐÔNG NAM,3,Quận Cái Răng ,"3,8 ",42,90,nhà ở
Bán cặp nhà mặt tiền đường Xuân Thuỷ KDC Hồng Phát,4,Quận Ninh Kiều,11,51,216,nhà ở
"Bán cặp nhà MT đường Lý Hồng Thanh , TTTM Cái Khế",4,Quận Ninh Kiều,11,172,64,nhà ở
bán cặp nhà văn phòng mặt tiền đường võ nguyên giáp gần bệnh viện,2,Quận Cái Răng ,25,100,250,nhà ở
Bán Cặp Nhà Vừa Mới Hoàn Thiện Lộ Ô Tô Chưa Đến 2,2,Quận Ninh Kiều,"1,95 ",39,50,nhà ở
"Bán Chung cư 178 Đường 3 tháng 2 P.Hưng Lợi, Q.Ninh Kiều TP Cần Thơ",3,Quận Ninh Kiều ,"1,75 ",21,84,chung cư / căn hộ
BÁN CHUNG CƯ CADIF 2 FULL NT GỖ CAO CẤP,2,Quận Cái Răng ,"2,1 ",32,65,chung cư / căn hộ
"BÁN CHUNG CƯ CARA RIVER PARK TP CẦN THƠ CĂN HỘ 3 PHÒNG NGỦ 85,85m2",3,Quận Cái Răng ,"1,4 ",16,86,chung cư / căn hộ
BÁN CHUNG CƯ ĐẠI HỌC Y DƯỢC 60m2,2,Quận Ninh Kiều ,"0,43","7,2 ",60,chung cư / căn hộ
"Bán Chung Cư Thiên Quân Marina Plaza đường Trần Bạch Đằng, Cần Thơ",2,Quận Ninh Kiều,"1,8 ",30,60,chung cư / căn hộ
Bán Đất 2 Mặt Tiền Đường Nguyễn Văn Cừ Thu Nhập 40triệu/Tháng (DT 309m,3,Quận Ninh Kiều,16,52,309,nhà ở
bán đất gần sân bay,2,Quận Bình Thủy ,"1,8 ","4,5 ",398,nhà ở
BÁN ĐẤT GÓC 2 MẶT TIỀN + TẶNG NHÀ XÂY MỚI + MÔ HÌNH NUÔI LƯƠN,1,Quận Cái Răng ,"1,49 ","5,2 ",286,nhà ở
BÁN ĐẤT TẶNG DÃY TRỌ 20 PHÒNG MẶT TIỀN ĐƯỜNG TRƯƠNG VĨNH NGUYÊN,10,Quận Cái Răng ,"7,2 ",17,427,nhà ở
BÁN DÃY MINI HOSE NỀN THỔ CƯ GÓC 2 MẶT TIỀN TRỤC CHÍNH HẺM 146 HOÀNG Q,3,Quận Ninh Kiều,"2,39 ",40,60,nhà ở
BÁN DÃY MINIHOUSE MẶT TIỀN MẬU THÂN NỐI DÀI GIÁ TỐT,10,Quận Ninh Kiều,"14,5 ",40,360,nhà ở
"bán Dãy nhà trọ Hẻm 9 Phạm Ngọc Hưng, Ninh kiều",4,Quận Ninh Kiều,"2,2 ",37,60,nhà ở
BÁN DÃY TRỌ 8 PHÒNG THU NHẬP 20 TRIỆU HẺM 138 ĐƯỜNG TRẦN HƯNG ĐẠO,8,Quận Ninh Kiều,"3,99 ",35,114,nhà ở
BÁN DÃY TRỌ TRỤC CHÍNH HẺM 70 TRẦN HƯNG ĐẠO,10,Quận Ninh Kiều,"7,5 ",33,229,nhà ở
BÁN GẤP CĂN HỘ VỊ TRÍ ĐẸP,2,Quận Cái Răng,"0,339","4,8 ",70,chung cư / căn hộ
BÁN GẤP CĂN NHÀ MẶT TIỀN ĐƯỜNG NG THỊ MINH KHAI ZÁ TỐT,1,Quận Ninh Kiều,"1,89 ",87,22,nhà ở
BÁN GẤP GIẢM 350tr( chính chủ),3,Quận Ninh Kiều,"4,45 ",49,90,nhà ở
Bán Gấp Giảm Mạnh 200 triệu Nhà Khu Hưng Phú,2,Quận Cái Răng ,"1,2 ",17,70,nhà ở
BÁN GẤP NHÀ 2 LẦU MẶT TIỀN ĐƯỜNG TRẦN HƯNG ĐẠO,3,Quận Ninh Kiều,"13,9 ",190,73,nhà ở
BÁN GẤP NHÀ 2 LẦU MẶT TIỀN ĐƯỜNG TRẦN HƯNG ĐẠO,3,Quận Ninh Kiều,"13,9 ",190,73,nhà ở
BÁN GẤP NHÀ 2 LẦU MẶT TIỀN ĐƯỜNG TRẦN HƯNG ĐẠO,3,Quận Ninh Kiều,"13,9 ",190,73,nhà ở
BÁN GẤP NHÀ 5 TẦNG CÁCH MT ĐƯỜNG 3/2 CHỈ 50M,5,Quận Ninh Kiều,"7,99 ",133,60,nhà ở
"BÁN GẤP NHÀ NÁT GẦN VÕ VĂN KIỆT 200M2, GẦN LOTTE MART 500M. 35m2",1,Quận Bình Thủy ,"0,65",19,35,nhà ở
BÁN GẤP NHÀ TRUNG TÂM CẦN THƠ GIÁ NGỘP,1,Quận Cái Răng,"1,55 ",43,36,chung cư / căn hộ
"Bán Gấp, Bán Lỗ Về Quê Căn Hộ Hồng Loan 6A Sổ Hồng",2,Quận Cái Răng,"0,65",18,36,chung cư / căn hộ
BÁN GIÁ ĐẦU TƯ - NHÀ TRỆT 2 LẦU MỚI ĐẸP - ĐƯỜNG SỐ 6,5,Quận Cái Răng ,"5,4 ",60,90,nhà ở
"Bán hoặc cho thuê căn hộ Chung Cư Tây Nguyên plaza,",2,Quận Cái Răng ,"1,1 ",12,89,chung cư / căn hộ
"Bán hoặc cho thuê nhà cách Bến Ninh Kiều 500m , phường Tân An",2,Quận Ninh Kiều,"1,29 ",28,46,nhà ở
"Bán hoặc cho thuê nhà mặt tiền đg lớn, gần chợ, trường học",4,Quận Cái Răng ,"6,99 ",47,150,nhà ở
"Bán khách sạn 8 lầu mặt tiền đường Trần Đại Nghĩa , phường Cái Khế",10,Quận Ninh Kiều,31,182,170,nhà ở
Bán KS 30 phòng góc 2 mặt tiền khu tái định cư đường Trần Quang Khải,10,Quận Ninh Kiều,"21,9 ",119,184,nhà ở
BÁN LẠI CĂN NÀY Ở KDC HƯNG PHÚ - GẦN SIÊU THỊ GO,2,Quận Cái Răng ,"2,23 ",30,75,chung cư / căn hộ
"BÁN LỖ CĂN HỘ CC CARA RẺ NHẤT KHU, DO NGỘP BANK HẾT KHẢ NĂNG CHI TRẢ",1,Quận Cái Răng ,"1,55 ",43,36,chung cư / căn hộ
BÁN LỔ VỐN NHÀ KHU PHÚ QUÝ HOÀNG QUÂN MUA CHỈ THANH TOÁN 1Ty3,3,Quận Cái Răng ,"1,65 ",24,70,nhà ở
bán nền tặng nhà củ,1,Quận Cái Răng ,"0,37",18,21,nhà ở
Bán Nhà  Giáp KDC Đại Ngân Giá Tốt,2,Quận Ninh Kiều,"2,15 ",34,64,nhà ở
BÁN NHÀ  HẺM 366,3,Quận Bình Thủy ,"1,95 ",41,48,nhà ở
"Bán Nhà 1 Trệt 1 Lầu Mặt Tiền Đường 3/2 Phường Xuân Khánh, Quận Ninh K",3,Quận Ninh Kiều,22,112,197,nhà ở
Bán nhà 1 trệt 1 lầu mặt tiền làng hoa kiểng Bà Bộ,3,Quận Bình Thủy ,"3,65 ",37,100,nhà ở
Bán nhà 1 trệt 1 lầu mặt tiền Phan Huy Chú - KDC An Khánh,4,Quận Ninh Kiều,"4,1 ",59,70,nhà ở
"Bán Nhà 1 Trệt 2 Lầu Hẻm 112 Nguyễn Thị Minh Khai- Hẻm 50 Quang Trung,",5,Quận Ninh Kiều,"3,4 ",40,84,nhà ở
"Bán nhà 1 trệt 2 lầu Kdc Hưng Phú 1, Quận Cái Răng, TP Cần Thơ",3,Quận Cái Răng ,"5,8 ",81,72,nhà ở
BÁN NHÀ 1 TRỆT 2 LẦU MỚI ĐƯỜNG TRẦN MINH SƠN KDC ĐHYD 4,4,Quận Ninh Kiều,"6,6 ",103,64,nhà ở
Bán nhà 100m2 mới xây hiện đại khu đông dân cư bán giá dưới 3 ,2,Quận Ninh Kiều,"2,63 ",26,100,nhà ở
"BÁN NHÀ 177m2, NINH KIỀU, Ở TRUNG TÂM TP, 5  RƯỠI, GIÁ THƯƠNG LƯỢNG",4,Quận Ninh Kiều,"5,5 ",31,177,nhà ở
"Bán nhà 1t1l 3 lầu đường Ung Văn Khiêm, P.Cái Khế, Q.Ninh Kiều",3,Quận Ninh Kiều,11,172,64,nhà ở
Bán nhà 1T1L có sổ KDC Hoàng Quân Cái Răng,2,Quận Cái Răng ,"2,3 ",33,70,nhà ở
BÁN NHÀ 1T1L HẺM 108 CÁCH MẠNG THÁNG 8 kế bệnh viện phụ sản,2,Quận Ninh Kiều,"2,2 ",49,45,nhà ở
BÁN NHÀ 1T1L HƠN 5x40M MẶT TIỀN TRƯƠNG VĨNH NGUYÊN ĐỐI DIỆN HOÀNG QUÂN,3,Quận Cái Răng ,"5,5 ",28,200,nhà ở
Bán nhà 1t1l mới hoàn công trục chính hẻm2 chợ bình thuỷ không ngập,3,Quận Bình Thủy ,"2,39 ",38,63,nhà ở
Bán nhà 1t1l mới tại rạch khoán châu long tuyền bình thuỷ cần thơ,3,Quận Bình Thủy ,"1,699",38,45,nhà ở
Bán nhà 1T2L đang hoàn thiện Khu Dân Cư Đại Học Y Dược Cần Thơ,4,Quận Ninh Kiều,"6,35 ",88,72,nhà ở
